ID,Kuupäev,Programm,Vastaja_tüüp,Tagasiside
T001,2025-03-15,Bakalaureus,Tudeng,"Õppejõud on enamasti väga head ja asjalikud. Samas Moodle süsteem võiks olla kasutajasõbralikum, praegu on seal kõik natuke segamini. A-korpuse ruumid on head, aga WiFi võiks toimida stabiilsemalt."
T002,2025-04-22,Magister,Tudeng,"Väga meeldib, et loengud on õhtuti ja võimaldavad töö kõrvalt õppida. Õppejõud mõistavad täiskasvanud õppija vajadusi. Ainuke miinus on parkimine - liiga vähe kohti õhtuti."
T003,2025-05-10,MBA,Täiendõppe osaleja,"Programm on väga tugev ja praktiline. Networking võimalused on suurepärased. Aga õppematerjalid võiksid olla digitaalselt paremini korraldatud, praegu tuleb mitmest kohast otsida."
T004,2025-02-18,Bakalaureus,Tudeng,"Kohvik on kallis ja valik väike. Õppejõud on kompetentsed, kuid mõned loengud võiksid olla interaktiivsemad. Ruumid on head ja kaasaegsed."
T005,2025-06-05,Täiendõpe,Täiendõppe osaleja,"Olen väga rahul. Korraldus on sujuv, õppejõud valdavad oma ala suurepäraselt. Eriti meeldis, et koolitused on kompaktsed ja konkreetsed - pole üleliigset teoorialahmimist."
T006,2025-03-28,Magister,Vilistlane,"Õppisin EBS-is 2020-2022 ja mäletan soojalt. Praegu vaatan tagasi ja hindan eriti karjääriteenuste abi. Need aitasid mind tööle saada juba enne lõpetamist."
T007,2025-04-14,Bakalaureus,Tudeng,"A-korpuses on kõik korras, aga B-korpuse ruumid on natuke vananenud. Projektorid jooksevad kinni keskel loengut. Muidu õppekorraldus on hea ja ajakava paindlik."
T008,2025-05-20,MBA,Täiendõppe osaleja,"Väga rahul õppejõudude tasemega - kõik on praktikud oma valdkonnas. Ainus ettepanek oleks rohkem rühmatöid ja case study põhiseid loenguid, vähem traditsioonilisi ettekandeid."
T009,2025-01-30,Bakalaureus,Tudeng,"Moodle on kohutav! Õppematerjalid on seal täielikus kaoses. Iga kursus on erinev struktuur. Õppejõud ise ei tea ka alati, kuhu nad materjale üles laadinud on."
T010,2025-02-25,Magister,Tudeng,"Õppekorraldus on hea, ainult eksamiperioodid võiksid olla paremini hajutatud. Praegu tuleb kõik korraga. Õppejõud on asjatundlikud ja abivalmis."
T011,2025-03-12,Täiendõpe,Täiendõppe osaleja,"Koolituse sisu oli suurepärane ja praktiline. Korraldus oli professionaalne. Ruumid olid head ja kohvik pakkus täiesti piisavat valikut. Olen kindlasti valmis uuesti tulema."
T012,2025-04-08,Bakalaureus,Vilistlane,"Lõpetasin 2024 ja olen väga tänulik EBS-ile. Eriti hindan rahvusvahelist keskkonda ja võimalust osaleda vahetusprogrammides. Karjääriteenused aitasid mind CV koostamisel."
T013,2025-05-15,MBA,Täiendõppe osaleja,"Programm on kallis, aga oma raha väärt. Õppejõud on tipptasemel ja kaasõppijad on inspireerivad. Ainus miinus on toitlustus - õhtuti ei ole kohvik avatud ja lähim koht on päris kaugel."
T014,2025-06-10,Magister,Tudeng,"WiFi on A-korpuses päris halb. Tunnis langeb ühendus pidevalt ära, mis segab veebipõhiste ülesannete tegemist. Muidu kõik on korras, õppejõud on head."
T015,2025-01-20,Bakalaureus,Tudeng,"Väga meeldib, et on palju rahvusvahelisi õppejõude ja ingliskeelseid kursuseid. Raamatukogu võiks olla suurem ja avatud kauem. Praegu see kipub kiiresti täis saama enne eksameid."
T016,2025-02-14,Täiendõpe,Täiendõppe osaleja,"Koolitajad olid professionaalsed ja materjalid head. Ruumid olid mugavad ja tehnika toimis. Ainus ettepanek - võiks olla rohkem praktilist harjutamist ja vähem slaide."
T017,2025-03-22,MBA,Täiendõppe osaleja,"Programm ületab ootusi! Networking õhtud on fantastilised ja on loonud palju ärikontakte. Õppekvaliteet on kõrge. Toitlustus võiks olla mitmekesisem."
T018,2025-04-18,Bakalaureus,Tudeng,"Moodle vajab täielikku ümberkorraldust. Õppematerjalid on laiali, foorumid on segased. Mõned õppejõud ei vasta üldse Moodle sõnumitele. Loengud ise on head."
T019,2025-05-25,Magister,Vilistlane,"Õppisin magistris 2021-2023. Väga hea mälestus. Hindasin eriti paindlikku õppekorraldust, mis võimaldas töötada täiskohaga. Diplomitöö juhendamine oli professionaalne."
T020,2025-06-15,Bakalaureus,Tudeng,"Üldiselt olen rahul. Õppekava on kaasaegne ja õppejõud kompetentsed. B-korpuse renoveerimist oodatakse. Kohviku hinnad on üliõpilasele liiga kõrged, aga kvaliteet on hea."
T021,2025-01-25,Magister,Tudeng,"Väga meeldivad külalisloengud ja praktikute kaasamine. Need teevad õppe elavaks. Karjääriteenused võiksid olla aktiivsemad - praegu peab ise nende juurde minema."
T022,2025-02-20,MBA,Täiendõppe osaleja,"Olen väga rahul programmi sisuga ja õppejõududega. Rühmatööd on harivad ja loon häid kontakte. Parkimine on küll keeruline - tuleb sageli kaugele jätta auto."
T023,2025-03-30,Täiendõpe,Täiendõppe osaleja,"Koolitus vastas täpselt ootustele. Praktilised harjutused ja konkreetsed näited olid väga väärtuslikud. Ruumides oli mugav ja tehnika toimis. Soovitan kindlasti!"
T024,2025-04-25,Bakalaureus,Tudeng,"A-korpuses on ruumid ilusad ja kaasaegsed. Aga grupitöö ruume on vähe ja need on sageli broneeritud. WiFi toimib halvasti, eriti hommikuti kui palju rahvast kohal."
T025,2025-05-12,Magister,Tudeng,"Õppejõud on enamasti suurepärased, aga mõned kursused kattuvad sisult liialt. Õppekava vajaks läbivaatamist. Moodle on segadust tekitav - vajaks ühtset struktuuri."
T026,2025-06-08,MBA,Vilistlane,"Lõpetasin 2023 MBA programmi. See oli parim investeering. Programm andis nii teadmisi kui ka võrgustiku. Karjääriteenused aitasid mind uuele ametikohale."
T027,2025-01-15,Bakalaureus,Tudeng,"Üldiselt hea õppeasutus. Rahvusvaheline keskkond on rikastav. Kohvik võiks pakkuda tervislikumaid valikuid ja studentidele soodsamaid hindu. Õppejõud on motiveerivad."
T028,2025-02-28,Täiendõpe,Täiendõppe osaleja,"Väga hästi korraldatud koolitus! Õppejõud olid professionaalsed ja praktilised. Ruumid mugavad. Hind on küll kõrge, aga kvaliteet õigustab seda."
T029,2025-03-18,Magister,Tudeng,"Hindan väga, et saab kombineerida töö ja õpingud. Loengud on õhtuti ja nädalavahetustel. Mõned õppejõud võiksid kasutada rohkem digiõppe võimalusi - praegu on kõik veel väga traditsiooniline."
T030,2025-04-30,Bakalaureus,Tudeng,"Raamatukogu on liiga väike eksamiperioodil. Kõik kohad on hõivatud ja müratase on vahel kõrge. Rohkem vaikset õpperuumi oleks vaja. Õppekorraldus on muidu hea."